DataID,Model,DataPreProcessing,QbitNo,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,LossHist,Accuracy,Precision,F1,Recall

jYehPgpQiRb4snCFy7BoyD,U_SU4_no_pooling,no_redu,16,2,Nestrov Momentum,cross_entropy,"[ 8.05520571e-01  1.13161120e+00  1.02112785e+00  1.20395007e+00
 -1.43773432e-01  6.10789165e-01 -9.41803927e-02 -1.47328752e+00
  1.28616288e+00 -9.01340587e-02 -2.56001990e-01  6.27296408e-01
 -1.52570796e+00  1.17621101e+00 -1.17514915e+00 -8.69129106e-01
 -5.58551479e-01 -2.26988118e-01  1.09641832e+00  1.21486462e+00
  5.07992806e-01 -2.49531396e-01 -1.54017600e+00 -5.40157737e-01
 -6.90489157e-01 -3.69075745e-02  1.64578504e+00 -1.19405723e+00
  6.92559728e-01 -3.73289686e-01  1.64796459e-01  1.75494767e-01
 -4.55846123e-01 -7.46158720e-01 -2.52032397e-01 -1.27733814e+00
 -1.13837611e-01  7.30494220e-01  5.83813954e-04 -1.61367176e+00
 -3.08329455e-01  7.57755164e-01  3.47710795e-01 -2.76051308e-01
 -1.71793552e+00 -4.14998532e-01  3.94195451e-01 -1.30787366e+00
  1.63656872e+00  4.04771952e-01 -1.17756114e+00  4.38381520e-01
 -1.25142985e+00  7.82516917e-01  1.08398070e+00  8.19115003e-01
 -1.22397915e-01  4.16176596e-01 -1.48337019e+00  1.11795807e+00]","[np.float64(17.30478157891173), np.float64(17.488391569575512)]",0.5225,1.0,0.6863711001642037,0.5225

DataID,Model,DataPreProcessing,QbitNo,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,LossHist,Accuracy,Precision,F1,Recall

T7EzCPymiZD7Tq3hCUZdwX,U_SU4_no_pooling,pca,16,2,Nestrov Momentum,cross_entropy,"[ 1.12295226e+00  1.83902732e+00  9.69000779e-01  8.94975838e-01
  9.12663395e-01  2.33554065e+00  2.73824488e-01 -6.93553685e-01
 -1.10426590e-01 -2.84640341e-01 -2.16801673e-01  3.33427326e-01
  6.52189522e-01  3.07732470e-01 -3.68852045e-02 -9.92660738e-02
 -1.06128818e+00  1.34845696e+00  9.18853678e-01 -1.18694261e+00
 -3.53383450e-01 -9.08700705e-01  1.84992022e+00  7.51667347e-01
 -1.49696726e-01 -1.03888487e+00  9.74246716e-01  1.99551920e+00
  3.47313558e-02  1.34556857e+00  6.00593644e-04 -7.35427394e-02
  6.49288866e-01 -2.76384495e+00 -6.59204845e-02 -1.46547974e+00
 -5.18616935e-02  7.05567738e-02 -3.42963052e-01 -1.88459365e+00
  6.20218314e-02  1.05498374e+00  2.40242603e-01  1.22273314e+00
 -3.74460411e-01 -1.11250815e+00  5.54663291e-01 -2.46881461e-01
 -7.10841249e-01  5.79191234e-02  4.83941700e-01 -4.51974368e-01
  2.45771992e+00 -4.59198102e-01 -5.70670746e-02  2.11428415e-01
 -3.13167994e-01  3.85413383e-01 -1.98658774e+00 -6.08924655e-01]","[np.float64(16.95766083220681), np.float64(17.621719493354558)]",0.4775,0.0,0.0,0.0

DataID,Model,DataPreProcessing,QbitNo,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,LossHist,Accuracy,Precision,F1,Recall

GYAK7UyTez7M8CvDwzssos,U_SU4_no_pooling,pca,14,2,Nestrov Momentum,cross_entropy,"[-1.65605133 -0.84162036 -1.29931847  1.06197597 -1.67277882 -0.9168289
  1.30004208 -0.58543299 -0.04030214 -0.49847695  0.26179317  1.10358761
  0.21424337  0.14244517  1.06179269  0.40265264 -0.32220488 -1.76474173
 -0.29232061 -0.30684487  0.07207829  0.48633772  2.41155359 -0.15649197
 -0.446704   -0.59624576  2.03832695 -0.30167188  1.47851702  1.53725486
  0.34366223  0.28954957  0.45192639 -1.03901571 -1.42973717 -0.56262097
 -1.36370079 -1.37956604  1.99833759  0.67331328  0.55373947  0.73117031
 -1.14073365  0.20654682  1.22025014 -0.65298192 -0.13098697  3.19861393
 -0.26973409 -0.40212668 -0.98427178 -0.22152901 -1.47020472 -0.15824637
 -0.29653752  0.28760526 -0.82458804 -0.67263373  0.01032413 -0.31889911]","[np.float64(16.903784931715816), np.float64(17.3020835193231)]",0.49166666666666664,0.0,0.0,0.0

DataID,Model,DataPreProcessing,QbitNo,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,LossHist,Accuracy,Precision,F1,Recall

J9qfJkpyDK4RqAEU3Qntp9,U_SU4_no_pooling,pca,8,2,Nestrov Momentum,cross_entropy,"[ 0.4824664  -0.75338435  1.13895085 -0.34685829 -0.73580684 -0.80258503
 -0.16080554 -1.37922067  0.67592477 -1.71135438 -0.66504089  0.2051543
  0.56177702  1.07076749  0.99429441  0.01447149 -1.61315406  0.21154875
  1.36079438 -0.11387085  0.50354703  2.10947986 -0.22571598  0.7632636
 -0.47576153  1.68724799 -0.93423593 -0.60701021 -1.63783226  0.48566255
 -0.99530684 -0.82177658 -0.146161   -0.36339182  1.09242176  1.09944022
 -0.53132032  0.89328393 -2.30835058 -0.91559086  0.92623743 -1.05005018
  0.03380122  0.15520804  0.57511694]","[np.float64(17.312739200880618), np.float64(19.464619898768856)]",0.5708333333333333,0.8819672131147541,0.6763042111879322,0.5484199796126402

DataID,Model,DataPreProcessing,QbitNo,Training_Itter,OptimisationAlgo,Lossfn,TrainParams,LossHist,Accuracy,Precision,F1,Recall

